id,shortname,fullname,language,type,category1,category2,edition,date,budget_pillar_I,budget_pillar_II,budget_pillar_III,budget_other,sum,duration
191,FLITC2,FMD Laboratory Investigation Training Course 2,FMD Laboratory Investigation Training Course,vLearning,,,,,,PII,PIII,,PIIPIII,12
192,FEPC_Canada,FMD Emergency Preparation Course for Canada,English and French - bilingual,vLearning,FMD Emergency Preparation Course,FEPC for Canada,,,,,,other,other,12
193,KTC 31,KTC 31 Real Time Training,Kathmandu Real Time Training,vLearning,,,,,PI,,,,PI,10
194,KTC 32,KTC 32 Real Time Training,Kathmandu Real Time Training,vLearning,,,,,PI,,,,PI,10
195,PCP Arabic,???? ???? ???????Ò ???????ü???Å???? ?????¶???Ò???™???? ?????Ò?? ?????????? ??????????????????,Open Access Courses,vLearning,,,,,,PII,,,PII,12
196,FITC_SAARC3,FMD Investigation Training Course for South Asia (FITC3),FMD Investigation Training Course,vLearning,,,,,,,PIII,,PIII,12
197,FITC_WCA_En1,FMD Investigation Training Course for West and Central Africa (En1),FMD Investigation Training Course,vLearning,,,,,,PII,PIII,,PIIPIII,12
198, Introduction to the Progressive Control Pathway Arabic, Introduction to the Progressive Control Pathway Arabic,Progressive Control Pathway,vLearning,,,,,PI,PII,PIII,,PIPIIPIII,12
199,FEPC_HU,RSZKF V??szhelyzetre Felk??sz??tè? Tanfolyam,Hungarian,vLearning,FMD Emergency Preparation Course,FEPC for Hungary,,,PI,,,,PI,12
200,SimEx_PT_ES,Regional Approach: Portugal-Spain FMD Simulation Exercise,Workshop Induction Courses,vLearning,,,,,PI,,,,PI,12
202,Modelling Training Course for North Macedonia,Modelling Training Course for North Macedonia,Workshop Induction Courses,vLearning,,,,,PI,,,,PI,12
203,PVM3_GCRF_STARS,"Vaccines, Vaccination and Post Vaccination Monitoring",In-Depth Courses,vLearning,In-Depth Courses,PVM,,,,PII,PIII,,PIIPIII,12
204,FITC_KM,Formation en ligne dÉ??investigations sur la fi??vre aphteuse pour les Comores et lÉ??Oc??an Indien,FMD Investigation Training Course,vLearning,,,,,,,PIII,,PIII,12
205,FITC_TR3,T?¨rk??e ??evrimi??i è?ap HastaléÒé?éÒ Araè?téÒrma Eé?itim Kursu 3,FMD Investigation Training Course,vLearning,,,,,,PII,,,PII,12
206,FITC_RU3,???Ò•ü•??¯•?•????? ???´?Ø?¯???´ ??•ü•?•Å ?®?? ???˙•ü•??Ê?´??•? ??•?•ü•??¯ ?´?¯ •?•ü•Å•Å?ß???¨ •è?˙•??ß?Ê 3,FMD Investigation Training Course,vLearning,,,,,,PII,,,PII,12
207,Socio-Economics_2,Socio-Economic Impact Assessment for Foot-and-Mouth Disease,In-Depth Courses,vLearning,In-Depth Courses,SE Impact,,,,PII,PIII,,PIIPIII,24
208,Modelling Training Course for Turkey,Modelling Training Course for Turkey,Workshop Induction Courses,vLearning,,,,,,PII,,,PII,12
209,UTC_2,Uganda Real Time Training 2,Uganda Real Time Training,vLearning,,,,,PI,,,,PI,10
210,SE_FR,??valuation des cons??quences socio-??conomiques  de la fi??vre aphteuse,In-Depth Courses,vLearning,,,,,,PII,PIII,,PIIPIII,12
211,FEPC_PL,Kurs przygotowawczy na wypadek sytuacji nadzwyczajnych zwié?zanych z pryszczycé?,Polish,vLearning,FMD Emergency Preparation Course,FEPC for Poland,,,PI,,,,PI,12
212,PVM3_GCRF_STARS_Summer_School,"Vaccines, Vaccination and Post Vaccination Monitoring: Summer School",In-Depth Courses,vLearning,In-Depth Courses,PVM,,,,PII,PIII,,PIIPIII,12
213,Nord-Baltic_SimEx,Nordic-Baltic Simulation Exercise É??RutaÉ?ù on emergency vaccination and stamping out of large infected herds,Workshop Induction Courses,vLearning,,,,,PI,,,,PI,12
214,FEPC_AU4,FMD Emergency Preparation Course for Australia (AU4),English,vLearning,FMD Emergency Preparation Course,,,,,,,other,other,12
217,KTC 33,KTC 33 Real Time Training,Kathmandu Real Time Training,vLearning,,,,,PI,,,,PI,10
218,KTC 34,KTC 34 Real Time Training,Kathmandu Real Time Training,vLearning,,,,,PI,,,,PI,10
219,ASF_Pilot,African Swine Fever Preparedness: Pilot Course,African Swine Fever,vLearning,,,,,,,,other,other,12
221,Risk Analysis to Support Safe Trade and FMD Control,Risk Analysis to Support Safe Trade and FMD Control ,English,Workshop,Workshop induction courses,,1,16-Jun-20,,,PIII,,PIII,70
222,UTC3,Uganda Real Time Training 3,English,RTT,"
Uganda Real Time Training",,3,9-Feb-20,PI,,PIII,,PIPIII,10
223,PVM4,"Vaccines, Vaccination and Post-Vaccination Monitoring 2020",English,"
In-Depth ","
In-Depth Courses",PVM,4,26-Feb-20,PI,,,,PI,24
224,Simex_Online,Organizing Simulation Exercises for Animal Disease Emergencies,English,SIMEX,Simulation Exercises,,,,PI,,,,PI,13
225,FEPC_Canada2,FMD Emergency Preparation Course for Canada 2,English and French - bilingual,vLearning,FMD Emergency Preparation Course,FEPC for Canada,2,5-May-20,,,,other,other,12
226,FITC_SA_VLC,FMD Investigation Training Course for Southern Africa (VLC),English,vLearning,FMD Investigation Training Course,,,,,,PIII,,PIII,12
227,VLC_SA_TFP,Virtual Learning Center for Southern Africa: Training Focal Points,English,vLearning,Virtual Learning Centre for Southern Africa,,,,,,PIII,,PIII,12
229,Improving surveillance and early detection of FMD and similar TADs in the Middle East (South-East Me,Improving surveillance and early detection of FMD and similar TADs in the Middle East (South-East Mediterranean),English,Workshop,Virtual Workshops,,,24-Mar-20,,PII,,,PII,12
230,ASF_Europe,African Swine Fever Preparedness Course for Europe ,English,vLearning,African Swine Fever,,1,13-May-20,PI,,,,PI,12
231,FEPC_ES5,Curso de Preparaci??n para Alertas de Fiebre Aftosa en Espa?Òa (5),Spanish,vLearning,FMD Emergency Preparation Course,FEPC for Spain,5,28-May-20,PI,,,,PI,12
233,FITC_TR4,T?¨rk??e ??evrimi??i è?ap HastaléÒé?éÒ Araè?téÒrma Eé?itim Kursu 4,turkish,vLearning,FMD Investigation Training Course,,,,,PII,,,PII,12
235,ASF_AsiaPac,African Swine Fever Preparedness Course for Asia and the Pacific,English,vLearning,African Swine Fever,,1,18-Aug-20,,,,other,other,12
236,Risk Mapping,Toolkit: Spatial Qualitative Risk Analysis,English,vLearning,Epidemiology,,,,,PII,PIII,,PIIPIII,12
237,SimEx_Albania_2020,FootÉ??andÉ??Mouth Disease Simulation Exercise in Albania É?? Induction course,,Workshop,Workshop induction courses,,1,7/9/2020,PI,,,,PI,12
238,Intro_FMD_FR,Introduction ?ˇ la fi??vre aphteuse,French,vLearning,Open Access Courses,,,,,PII,,,PII,12
239,ASF_BalkanRegion,Kurs za pripremne mere u sluéçaju pojave Afriéçke kuge svinja  za Balkanske zemlje,Balcan,vLearning,African Swine Fever,,1,1-Jul-20,PI,,,,PI,12
240,APPP-FAST,Applying Public-Private Partnerships to the Control of FMD and Similar Transboundary Diseases,English,vLearning,In-Depth Courses,APPP,1,13-Jul-20,,PII,PIII,,PIIPIII,12
241,RAVC_3,Foot-and-Mouth Disease Risk Analysis along the Value Chain (3),English,In-Depth Courses,In-Depth Courses,RAVC,3,14-Jul-20,,PII,PIII,,PIIPIII,24
242,LSD_Pilot,Lumpy Skin Disease Preparedness Pilot Course,English,vLearning,Lumpy Skin Disease,,,,,PII,PIII,,PIIPIII,12
243,FEPC_En10,FMD Emergency Preparation Course (EN10),English,vLearning,FMD Emergency Preparation Course,FEPC for Member States,10,8-Sep-20,PI,,,,PI,12
244,FITC_RU4,???Ò•ü•??¯•?•????? ???´?Ø?¯???´ ??•ü•?•Å ?®?? ???˙•ü•??Ê?´??•? ??•?•ü•??¯ ?´?¯ •?•ü•Å•Å?ß???¨ •è?˙•??ß?Ê 4,Russian,vLearning,FMD Investigation Training Course,,`4,17-Sep-20,,PII,,,PII,112
245,ASF_LAC,African Swine Fever Preparedness Course for Latin America and the Caribbean / Curso de Preparaci??n ante la Peste Porcina Africana para Am??rica Latina y el Caribe,english/spanish,vLearning,African Swine Fever,,1,18-Aug-20,,,,Other,Other,12
246,LSD_VLC_SADC,Lumpy Skin Disease Course for Southern Africa,english,vLearning,Virtual Learning Centre for Southern Africa,,1,9-Jul-20,,,PIII,,PIII,12
247,SE_3,Socioeconomic Impact Assessment for FMD and Similar Transboundary Animal Diseases Third Edition / Evaluation des cons??quences socio-??conomiques de la fi??vre aphteuse et des maladies transfrontali??res similaires troisieme session ,english,In-Depth Courses,In-Depth Courses,SE Impact,3,,,PII,PIII,,PIIPIII,24
248,RMM_Virtual,SADC FMD Road Map Meeting,english,vLearning,Virtual Learning Centre for Southern Africa,,3,2-Nov-20,,,PIII,,PIII,12
